Region,SbWtrshd,Site_ID,Date,Site_Visit,O,H,Opm,Hpm,P(18O),P(2H),Ps(18O),Ps(2H),18O_snow,2H_snow,18O_rain,2H_rain
Parkland,05FA,317,02-May-15,1,-14.990404,-135.875226,-0.01499,-0.135875226,-0.01915,-0.148083333,-0.01345,-0.10375,-24.3,-187.559,-13.45,-99.3485
Parkland,05FA,317,22-May-15,2,-9.186737,-108.062241,-0.00919,-0.108062241,-0.01915,-0.148083333,-0.01345,-0.10375,-24.3,-187.559,-13.45,-99.3485
Parkland,05FA,333,08-May-15,1,-14.886791,-136.048815,-0.01489,-0.136048815,-0.019208333,-0.148416667,-0.01345,-0.10375,-24.3,-187.559,-13.45,-99.3485
Parkland,05FA,333,23-May-15,2,-10.486686,-112.777003,-0.01049,-0.112777003,-0.019208333,-0.148416667,-0.01345,-0.10375,-23.93333333,-184.578,-13.45,-99.3485
Parkland,05FA,333,14-Jun-15,3,-9.68905,-106.551803,-0.00969,-0.106551803,-0.019208333,-0.148416667,-0.01345,-0.10375,-23.93333333,-184.578,-13.45,-99.3485
Parkland,05FA,333,30-Jul-15,5,-9.590171,-104.292916,-0.00959,-0.104292916,-0.019208333,-0.148416667,-0.01345,-0.10375,-23.93333333,-184.578,-13.45,-99.3485
Parkland,05FA,351,02-May-15,1,-12.79338,-117.403788,-0.01279,-0.117403788,-0.019125,-0.148,-0.013425,-0.10375,-23.93333333,-184.578,-13.425,-99.14525
Parkland,05FA,351,15-May-15,2,-8.718474,-96.409376,-0.00872,-0.096409376,-0.019125,-0.148,-0.013425,-0.10375,-23.93333333,-184.578,-13.425,-99.14525
Parkland,05FA,365,02-May-15,1,-17.557134,-146.955017,-0.01756,-0.146955017,-0.01915,-0.148,-0.0135,-0.10425,-24.56666667,-189.727,-13.5,-99.755
Parkland,05FA,365,21-May-15,2,-14.108893,-129.515096,-0.01411,-0.129515096,-0.01915,-0.148,-0.0135,-0.10425,-24.56666667,-189.727,-13.5,-99.755
Parkland,05FA,365,14-Jun-15,3,-11.072299,-111.4235,-0.01107,-0.1114235,-0.01915,-0.148,-0.0135,-0.10425,-24.56666667,-189.727,-13.5,-99.755
Parkland,05FA,396,01-May-15,1,-18.698605,-149.291404,-0.0187,-0.149291404,-0.019316667,-0.14925,-0.013675,-0.1055,-24.56666667,-189.727,-13.675,-101.17775
Parkland,05FA,396,14-May-15,2,-17.360653,-143.000483,-0.01736,-0.143000483,-0.019316667,-0.14925,-0.013675,-0.1055,-24.56666667,-189.727,-13.675,-101.17775
Parkland,05FA,398,03-May-15,1,-17.60233,-144.347603,-0.0176,-0.144347603,-0.019441667,-0.15,-0.013825,-0.10625,-24.23333333,-187.017,-13.825,-102.39725
Parkland,05FA,398,22-May-15,2,-15.213071,-134.397197,-0.01521,-0.134397197,-0.019441667,-0.15,-0.013825,-0.10625,-24.23333333,-187.017,-13.825,-102.39725
Parkland,05FA,398,13-Jun-15,3,-11.319841,-112.047503,-0.01132,-0.112047503,-0.019441667,-0.15,-0.013825,-0.10625,-24.23333333,-187.017,-13.825,-102.39725
Parkland,05FA,398,27-Jun-15,4,-10.750577,-110.248199,-0.01075,-0.110248199,-0.019441667,-0.15,-0.013825,-0.10625,-24.23333333,-187.017,-13.825,-102.39725
Parkland,05FA,398,17-Jul-15,5,-16.286757,-129.272213,-0.01629,-0.129272213,-0.019441667,-0.15,-0.013825,-0.10625,-24.8,-191.624,-13.825,-102.39725
Parkland,05FC,10,04-May-15,1,-12.593061,-120.170178,-0.01259,-0.120170178,-0.0191,-0.1475,-0.01355,-0.1045,-24.8,-191.624,-13.55,-100.1615
Parkland,05FC,10,20-May-15,2,-10.613996,-109.498487,-0.01061,-0.109498487,-0.0191,-0.1475,-0.01355,-0.1045,-24.8,-191.624,-13.55,-100.1615
Parkland,05FC,10,16-Jun-15,3,-6.532413,-89.254098,-0.00653,-0.089254098,-0.0191,-0.1475,-0.01355,-0.1045,-24.66666667,-190.54,-13.55,-100.1615
Parkland,05FC,10,27-Jun-15,4,-4.407346,-82.356786,-0.00441,-0.082356786,-0.0191,-0.1475,-0.01355,-0.1045,-24.66666667,-190.54,-13.55,-100.1615
Parkland,05FC,10,25-Jul-15,5,-7.399756,-88.005437,-0.0074,-0.088005437,-0.0191,-0.1475,-0.01355,-0.1045,-24.66666667,-190.54,-13.55,-100.1615
Parkland,05FC,13,05-May-15,1,-9.635239,-102.094845,-0.00964,-0.102094845,-0.019091667,-0.147416667,-0.0135,-0.1045,-24.66666667,-190.54,-13.5,-99.755
Parkland,05FC,13,18-May-15,2,-4.833749,-75.219841,-0.00483,-0.075219841,-0.019091667,-0.147416667,-0.0135,-0.1045,-24.66666667,-190.54,-13.5,-99.755
Parkland,05FC,13,05-Aug-15,5,-9.828022,-93.95975,-0.00983,-0.09395975,-0.019091667,-0.147416667,-0.0135,-0.1045,-24.7,-190.811,-13.5,-99.755
Parkland,05FC,18,06-May-15,1,-13.152336,-125.573537,-0.01315,-0.125573537,-0.018991667,-0.146666667,-0.013425,-0.1035,-24.7,-190.811,-13.425,-99.14525
Parkland,05FC,18,25-May-15,2,-10.166941,-112.814852,-0.01017,-0.112814852,-0.018991667,-0.146666667,-0.013425,-0.1035,-24.7,-190.811,-13.425,-99.14525
Parkland,05FC,18,15-Jun-15,3,-7.135059,-91.579244,-0.00714,-0.091579244,-0.018991667,-0.146666667,-0.013425,-0.1035,-24.7,-190.811,-13.425,-99.14525
Parkland,05FC,182,06-May-15,1,-9.473705,-103.270809,-0.00947,-0.103270809,-0.019025,-0.147083333,-0.0134,-0.10375,-24.7,-190.811,-13.4,-98.942
Parkland,05FC,182,17-May-15,2,-4.568992,-74.968254,-0.00457,-0.074968254,-0.019025,-0.147083333,-0.0134,-0.10375,-24.5,-189.185,-13.4,-98.942
Parkland,05FC,321,05-May-15,1,-12.253401,-118.241356,-0.01225,-0.118241356,-0.018958333,-0.146416667,-0.01335,-0.10325,-24.5,-189.185,-13.35,-98.5355
Parkland,05FC,321,26-May-15,2,-4.206693,-81.05671,-0.00421,-0.08105671,-0.018958333,-0.146416667,-0.01335,-0.10325,-24.5,-189.185,-13.35,-98.5355
Parkland,05FC,321,15-Jun-15,3,-4.84,-76.15692,-0.00484,-0.07615692,-0.018958333,-0.146416667,-0.01335,-0.10325,-24.5,-189.185,-13.35,-98.5355
Parkland,05FC,344,09-May-15,1,-13.08617,-120.000564,-0.01309,-0.120000564,-0.019133333,-0.147916667,-0.013675,-0.1055,-24.5,-189.185,-13.675,-101.17775
Parkland,05FC,344,19-May-15,2,-11.778823,-112.77404,-0.01178,-0.11277404,-0.019133333,-0.147916667,-0.013675,-0.1055,-24.66666667,-190.54,-13.675,-101.17775
Parkland,05FC,344,17-Jun-15,3,-8.018914,-96.332891,-0.00802,-0.096332891,-0.019133333,-0.147916667,-0.013675,-0.1055,-24.66666667,-190.54,-13.675,-101.17775
Parkland,05FC,344,27-Jun-15,4,-7.717735,-93.37525,-0.00772,-0.09337525,-0.019133333,-0.147916667,-0.013675,-0.1055,-24.66666667,-190.54,-13.675,-101.17775
Parkland,05FC,344,22-Jul-15,5,-7.67147,-88.90652,-0.00767,-0.08890652,-0.019133333,-0.147916667,-0.013675,-0.1055,-24.66666667,-190.54,-13.675,-101.17775
